R_ohm,L_H,C_F,f0_Hz,Q,BW_Hz
1000.0,0.002,4.3e-08,17162.1188826345,0.21566554640687682,79577.47154594767
1000.0,0.002,4.7e-08,16415.578975209002,0.2062842492517587,79577.47154594766
1000.0,0.002,5.1e-08,15758.687585503261,0.19802950859533489,79577.47154594767
1000.0,0.002,5.6e-08,15038.728548135443,0.1889822365046136,79577.47154594767
1000.0,0.002,6.2e-08,14292.535811537016,0.17960530202677488,79577.47154594767
1000.0,0.002,6.8e-08,13647.42377934828,0.17149858514250882,79577.47154594767
1000.0,0.002,7.5e-08,12994.946687227935,0.16329931618554522,79577.47154594766
1000.0,0.002,8.2e-08,12427.913092914156,0.15617376188860607,79577.47154594767
1000.0,0.002,9.1e-08,11797.349281010385,0.14824986333222026,79577.47154594764
1000.0,0.002,1e-07,11253.953951963826,0.1414213562373095,79577.47154594767
1000.0,0.0022,1e-08,33931.9478787285,0.469041575982343,72343.15595086152
1000.0,0.0022,1.1e-08,32352.84288259896,0.447213595499958,72343.15595086152
1000.0,0.0022,1.2e-08,30975.48878878195,0.42817441928883765,72343.15595086152
1000.0,0.0022,1.3e-08,29760.28699774697,0.41137667560372115,72343.15595086152
1000.0,0.0022,1.5e-08,27705.31942719963,0.38297084310253526,72343.15595086152
1000.0,0.0022,1.6e-08,26825.560185725237,0.37080992435478316,72343.1559508615
1000.0,0.0022,1.8e-08,25291.380688605575,0.34960294939005054,72343.15595086153
1000.0,0.0022,2e-08,23993.51044391741,0.33166247903554,72343.15595086152
1000.0,0.0022,2.2e-08,22876.91459294865,0.31622776601683794,72343.15595086152
1000.0,0.0022,2.4e-08,21902.978173115593,0.3027650354097492,72343.1559508615
1000.0,0.0022,2.7e-08,20650.325859187964,0.2854496128592251,72343.1559508615
1000.0,0.0022,3e-08,19590.61924191225,0.27080128015453203,72343.15595086152
1000.0,0.0022,3.3e-08,18678.922547318176,0.25819888974716115,72343.1559508615
1000.0,0.0022,3.6e-08,17883.706790483495,0.2472066162365221,72343.15595086153
1000.0,0.0022,3.9e-08,17182.109709309734,0.23750843439814176,72343.15595086153
1000.0,0.0022,4.3e-08,16363.438306777358,0.22619193331698287,72343.1559508615
1000.0,0.0022,4.7e-08,15651.640433668284,0.2163527458533815,72343.15595086152
1000.0,0.0022,5.1e-08,15025.31906838631,0.2076951008135743,72343.15595086152
1000.0,0.0022,5.6e-08,14338.865060466826,0.19820624179302296,72343.15595086152
1000.0,0.0022,6.2e-08,13627.398201753438,0.18837162994395398,72343.15595086152
1000.0,0.0022,6.8e-08,13012.30801318928,0.17986923354612538,72343.15595086152
1000.0,0.0022,7.5e-08,12390.195515512778,0.17126976771553507,72343.1559508615
1000.0,0.0022,8.2e-08,11849.550196489126,0.16379642332078845,72343.1559508615
1000.0,0.0022,9.1e-08,11248.33119170679,0.1554857684028483,72343.1559508615
1000.0,0.0022,1e-07,10730.224074290096,0.14832396974191325,72343.15595086152
1000.0,0.0024,1e-08,32487.36671806984,0.4898979485566356,66314.55962162306
1000.0,0.0024,1.1e-08,30975.48878878195,0.46709936649691375,66314.55962162306
1000.0,0.0024,1.2e-08,29656.772642382384,0.4472135954999579,66314.55962162308
1000.0,0.0024,1.3e-08,28493.305506251436,0.42966892442365967,66314.55962162306
